China,"10641789",
United States,"5172338",
India,"2454968",
Russia,"1760895",
Japan,"1252890",
Germany,"777905",
Iran,"633750",
South Korea,"617285",
Canada,"555401",
Saudi Arabia,"505565",
Indonesia,"502961",
Brazil,"486229",
Mexico,"472018",
Australia,"446348",
South Africa,"417161",
Turkey,"357157",
Italy,"352886",
France,"327787",
Poland,"294879",
Thailand,"279253",
Taiwan,"279174",
Kazakhstan,"267978",
Spain,"262683",
Malaysia,"245371",
Ukraine,"228688",
Egypt,"226985",
Vietnam,"206028",
Argentina,"191199",
Venezuela,"178568",
Pakistan,"174843",
Netherlands,"165317",
